id,base_id,attribute,winner,prob_current
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,categories,current,0.9971285608366414
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,websites,base,0.00016051535203587264
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,phones,base,2.2648706549531197e-05
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,addresses,base,0.0020817008910673
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,emails,current,1.0
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,socials,base,0.043333333333333335
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,names,current,0.997670771432156
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,categories,current,0.9983889005571789
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,websites,base,2.7007261451217346e-05
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,phones,base,5.313952904600197e-05
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,addresses,current,0.9974290081591644
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,emails,current,1.0
1407374887156369,yelp__WUPLLNjUyO3gBUgEB7fdQ,socials,base,0.043333333333333335
08f44dab6089a75303af67f5476d3276,yelp_EMmcTXc0Jd3b2XIOsc1jMw,names,base,0.00020475705085979757
08f44dab6089a75303af67f5476d3276,yelp_EMmcTXc0Jd3b2XIOsc1jMw,categories,current,0.9991998871744382
